fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality_category
6.3,0.3,0.9555114450274363,0.04783732941416013,132.0,0.994,3.3,0.49,9.5,2
8.1,0.28,2.066862759472976,0.04879016416943201,97.0,0.9951,3.26,0.44,10.1,2
7.2,0.23,2.2512917986064953,0.05638033343610764,186.0,0.9956,3.19,0.4,9.9,2
6.2,0.32,2.0794415416798357,0.04401688541677432,136.0,0.9949,3.18,0.47,9.6,2
8.1,0.22,0.9162907318741551,0.04305948946044697,129.0,0.9938,3.22,0.45,11.0,2
8.1,0.27,0.8960880245566356,0.032467190137501496,63.0,0.9908,2.99,0.56,12.0,2
8.6,0.23,1.6486586255873816,0.0344014267173324,109.0,0.9947,3.14,0.53,9.7,2
7.9,0.18,0.7884573603642702,0.039220713153281295,75.0,0.992,3.18,0.63,10.8,2
6.6,0.16,0.9162907318741551,0.04305948946044697,143.0,0.9912,3.54,0.52,12.4,0
8.3,0.42,3.0081547935525483,0.039220713153281295,172.0,1.0002,2.98,0.67,9.7,2
6.6,0.17,0.9162907318741551,0.03149866705937099,112.0,0.9914,3.25,0.55,11.4,0
6.3,0.48,0.7419373447293773,0.044973365642731154,99.0,0.9928,3.24,0.36,9.6,2
7.4,0.34,0.7419373447293773,0.032467190137501496,171.0,0.9917,3.12,0.53,11.3,2
6.5,0.31,2.1400661634962708,0.04305948946044697,133.0,0.9955,3.22,0.5,9.5,2
6.4,0.31,1.3609765531356006,0.037295784743696894,102.0,0.9912,3.17,0.35,11.0,0
6.8,0.26,0.9932517730102833,0.04783732941416013,122.0,0.993,3.47,0.48,10.5,0
6.6,0.27,0.832909122935104,0.050693114315518116,142.0,0.9951,3.42,0.47,10.0,2
7.0,0.25,2.302585092994046,0.044973365642731154,245.0,0.9955,3.25,0.5,10.4,2
6.9,0.24,0.6931471805599453,0.050693114315518116,146.0,0.993,3.45,0.44,10.0,2
7.0,0.28,2.272125885509337,0.04974209189481407,141.0,0.9961,3.38,0.53,10.5,2
7.4,0.27,0.7419373447293773,0.045928931888399804,132.0,0.9914,3.19,0.49,11.6,2
7.2,0.32,1.0986122886681098,0.032467190137501496,114.0,0.9906,3.1,0.71,12.3,0
8.5,0.24,2.4336133554004498,0.04305948946044697,142.0,0.9974,3.2,0.53,10.0,2
8.3,0.14,0.7419373447293773,0.04114194333117518,47.0,0.9934,3.47,0.4,10.2,2
7.4,0.25,1.1151415906193203,0.04879016416943201,100.0,0.992,3.19,0.44,10.8,2
6.2,0.12,0.9162907318741551,0.04401688541677432,117.0,0.9939,3.42,0.51,9.0,2
5.8,0.27,2.7694588292308535,0.04305948946044697,179.0,0.9962,3.37,0.37,10.2,2
7.3,0.28,0.9932517730102833,0.08309947281950743,123.0,0.9905,3.19,0.42,12.8,2
6.5,0.39,1.8562979903656263,0.04974209189481407,149.0,0.9934,3.24,0.35,10.0,2
7.0,0.33,0.7884573603642702,0.05164323315183845,138.0,0.9906,3.13,0.28,11.2,2
7.3,0.24,2.9418039315284354,0.055434706888100586,149.0,0.9999,3.21,0.36,8.6,2
7.0,0.31,2.128231705849268,0.06672363204290818,160.0,0.9954,3.13,0.46,9.8,2
6.6,0.24,0.8754687373538999,0.055434706888100586,152.0,0.9934,3.22,0.56,9.5,2
6.7,0.23,0.8754687373538999,0.058268908123975775,154.0,0.9934,3.24,0.56,9.5,2
7.4,0.18,0.8754687373538999,0.05638033343610764,167.0,0.9931,3.16,0.53,10.0,0
6.2,0.45,1.6863989535702288,0.061095099359810875,206.0,0.994,3.27,0.52,9.8,2
6.2,0.46,1.6863989535702288,0.0639133257436528,207.0,0.9939,3.25,0.52,9.8,2
6.9,0.19,1.791759469228055,0.06485097231961631,150.0,0.995,3.36,0.48,9.8,2
7.2,0.19,0.9555114450274363,0.06015392281974709,173.0,0.9917,3.35,0.44,11.7,2
6.6,0.25,0.7419373447293773,0.0657877405380031,124.0,0.9914,3.34,0.58,11.0,0
6.2,0.16,0.7419373447293773,0.055434706888100586,82.0,0.991,3.32,0.46,10.9,0
6.4,0.18,0.6931471805599453,0.04401688541677432,108.0,0.9911,3.31,0.35,10.9,2
6.9,0.25,0.832909122935104,0.03825871211709034,191.0,0.9908,3.13,0.52,11.0,2
7.2,0.21,2.5572273113676265,0.04210117601863539,213.0,0.9962,3.09,0.5,9.6,2
6.0,0.19,2.5952547069568657,0.04688358589885042,147.0,0.9972,3.3,0.36,8.9,2
6.6,0.38,1.7227665977411035,0.04305948946044697,78.0,0.9931,3.11,0.38,10.2,2
7.4,0.2,0.7884573603642702,0.037295784743696894,111.0,0.9926,3.36,0.34,9.9,2
6.8,0.22,1.7749523509116738,0.08309947281950743,123.0,0.9951,3.03,0.46,8.6,2
7.0,0.47,0.7419373447293773,0.0344014267173324,151.0,0.991,3.02,0.34,10.5,2
7.2,0.24,0.8754687373538999,0.037295784743696894,122.0,0.9927,3.15,0.46,10.3,2
6.2,0.35,0.7884573603642702,0.06203539091945264,120.0,0.9934,3.22,0.54,9.1,2
6.4,0.26,2.0014800002101243,0.039220713153281295,124.0,0.9903,3.22,0.49,12.6,0
6.7,0.25,0.7884573603642702,0.04018178963283183,174.0,0.992,3.14,0.42,9.8,2
6.7,0.23,1.1314021114911006,0.044973365642731154,96.0,0.9926,3.33,0.64,10.7,0
7.4,0.24,2.4069451083182885,0.04879016416943201,105.0,0.9962,3.13,0.35,9.5,2
6.2,0.27,2.174751721484161,0.054488185284069734,244.0,0.9956,3.1,0.51,9.0,2
6.8,0.3,1.7227665977411035,0.05921185963184608,238.5,0.9958,3.32,0.6,9.5,2
8.6,0.23,0.6931471805599453,0.05259245011917058,72.0,0.9941,2.95,0.49,9.1,2
7.1,0.18,0.8754687373538999,0.04210117601863539,87.0,0.9898,3.26,0.37,12.7,0
7.0,0.32,0.832909122935104,0.04114194333117518,69.0,0.9912,3.31,0.65,12.0,0
7.4,0.18,2.2823823856765264,0.06203539091945264,103.0,0.9961,2.94,0.56,9.3,2
6.7,0.54,1.8562979903656263,0.058268908123975775,105.0,0.9949,3.27,0.37,9.0,2
6.8,0.22,0.8754687373538999,0.05164323315183845,114.0,0.9929,3.39,0.77,10.6,2
7.1,0.2,2.833213344056216,0.04879016416943201,166.0,0.9985,3.21,0.6,9.2,2
7.1,0.34,1.9600947840472698,0.061095099359810875,164.0,0.9946,3.17,0.42,10.0,2
7.3,0.22,2.2192034840549946,0.045928931888399804,207.0,0.9966,3.33,0.46,9.5,2
7.1,0.43,2.5494451709255714,0.04401688541677432,155.0,0.9974,3.11,0.45,8.7,2
7.1,0.44,2.5494451709255714,0.04305948946044697,152.0,0.9975,3.12,0.46,8.7,2
7.2,0.39,2.4849066497880004,0.04305948946044697,156.0,0.9974,3.09,0.44,8.7,2
6.8,0.25,2.6602595372658615,0.04879016416943201,202.0,0.9972,3.22,0.48,9.7,2
6.1,0.27,2.1400661634962708,0.04783732941416013,243.0,0.9957,3.12,0.47,9.0,2
6.9,0.24,0.9932517730102833,0.0344014267173324,136.0,0.99,3.26,0.4,12.6,0
6.9,0.21,1.0296194171811583,0.03343477608623739,136.0,0.9899,3.25,0.41,12.6,0
7.5,0.17,0.9932517730102833,0.039220713153281295,148.0,0.9916,3.21,0.44,11.5,0
7.1,0.26,2.5952547069568657,0.04305948946044697,240.0,0.9969,3.04,0.42,9.2,2
6.0,0.34,2.827313621929028,0.044973365642731154,164.0,0.9979,3.14,0.5,8.8,2
8.6,0.265,0.7884573603642702,0.03343477608623739,80.0,0.9913,2.95,0.36,11.4,0
7.4,0.25,2.6741486494265287,0.058268908123975775,192.0,0.9975,3.0,0.44,9.1,2
